Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
Iberia,11:55,18:50,$275,7h 55m,2024-08-19,Rome,London,False
Lufthansa,14:50,22:10,$243,8h 20m,2024-08-19,Rome,London,False
KLM,6:30,13:50,$240,8h 20m,2024-08-19,Rome,London,False
Iberia,14:45,22:10,$246,8h 25m,2024-08-19,Rome,London,False
Lufthansa,12:55,18:25,$362,6h 30m,2024-08-19,Rome,London,False
Lufthansa,15:50,22:10,$309,7h 20m,2024-08-19,Rome,London,False
Eurowings,10:45,18:50,$219,9h 05m,2024-08-19,Rome,London,False
Aer Lingus,15:20,21:50,$314,7h 30m,2024-08-19,Rome,London,False
"Iberia, British Airways",16:25,22:25,$349,7h 00m,2024-08-19,Rome,London,False
"ITA Airways, British Airways",9:15,12:35,$191,4h 20m,2024-09-19,Rome,London,False
Lufthansa,7:00,10:40,$203,4h 40m,2024-09-19,Rome,London,False
Vueling,12:15,19:45,$152,8h 30m,2024-09-19,Rome,London,False
"Iberia, British Airways",6:20,12:00,$161,6h 40m,2024-09-19,Rome,London,False
"ITA Airways, British Airways",16:45,22:15,$152,6h 30m,2024-09-19,Rome,London,False
"Wizz Air Malta, British Airways",6:05,12:00,$133,6h 55m,2024-09-19,Rome,London,False
"ITA Airways, Vueling",14:05,19:45,$170,6h 40m,2024-09-19,Rome,London,False
Iberia,11:55,18:15,$160,7h 20m,2024-09-19,Rome,London,False
"ITA Airways, British Airways",17:25,22:35,$169,6h 10m,2024-09-19,Rome,London,False
KLM,10:20,16:15,$174,6h 55m,2024-09-19,Rome,London,False
Iberia,11:55,19:20,$139,8h 25m,2024-09-19,Rome,London,False
"ITA Airways, SWISS",16:45,21:30,$181,5h 45m,2024-09-19,Rome,London,False
"Wizz Air Malta, Iberia",13:45,19:20,$158,6h 35m,2024-09-19,Rome,London,False
Iberia,11:55,18:45,$160,7h 50m,2024-09-19,Rome,London,False
"Wizz Air Malta, British Airways",6:00,13:00,$135,8h 00m,2024-09-19,Rome,London,False
"Austrian Airlines, British Airways",8:55,13:00,$204,5h 05m,2024-09-19,Rome,London,False
"ITA Airways, British Airways",15:15,21:20,$167,7h 05m,2024-09-19,Rome,London,False
Austrian Airlines,8:55,14:20,$196,6h 25m,2024-09-19,Rome,London,False
Lufthansa,8:05,12:50,$212,5h 45m,2024-09-19,Rome,London,False
KLM,12:40,19:25,$174,7h 45m,2024-09-19,Rome,London,False
Brussels Airlines,10:15,17:05,$174,7h 50m,2024-09-19,Rome,London,False
Scandinavian Airlines,10:40,19:55,$126,10h 15m,2024-09-19,Rome,London,False
Iberia,14:45,22:10,$166,8h 25m,2024-09-19,Rome,London,False
Lufthansa,15:50,19:40,$235,4h 50m,2024-09-19,Rome,London,False
Scandinavian Airlines,14:35,19:30,$214,5h 55m,2024-09-19,Rome,London,False
Iberia,6:20,13:30,$171,8h 10m,2024-09-19,Rome,London,False
Lufthansa,10:50,15:45,$217,5h 55m,2024-09-19,Rome,London,False
Vueling,9:50,19:45,$139,10h 55m,2024-09-19,Rome,London,False
"ITA Airways, British Airways",8:25,15:00,$169,7h 35m,2024-09-19,Rome,London,False
KLM,10:20,17:35,$174,8h 15m,2024-09-19,Rome,London,False
Lufthansa,19:05,22:40,$249,4h 35m,2024-09-19,Rome,London,False
"easyJet, British Airways",13:25,22:40,$107,10h 15m,2024-09-19,Rome,London,False
"easyJet, British Airways",8:45,15:50,$151,8h 05m,2024-09-19,Rome,London,False
