Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
Lufthansa,13:00,18:40,$231,6h 40m,2024-08-19,Madrid,London,False
Lufthansa,5:55,10:40,$231,5h 45m,2024-08-19,Madrid,London,False
TAP AIR PORTUGAL,13:35,18:50,$283,6h 15m,2024-08-19,Madrid,London,False
Bulgaria Air,10:10,16:45,$246,7h 35m,2024-08-19,Madrid,London,False
Aer Lingus,10:40,17:20,$216,7h 40m,2024-08-19,Madrid,London,False
KLM,6:00,10:45,$318,5h 45m,2024-08-19,Madrid,London,False
Lufthansa,14:55,19:40,$320,5h 45m,2024-08-19,Madrid,London,False
"easyJet, TAP AIR PORTUGAL",17:55,22:55,$250,6h 00m,2024-08-19,Madrid,London,False
KLM,10:20,16:15,$261,6h 55m,2024-08-19,Madrid,London,False
KLM,13:05,19:25,$252,7h 20m,2024-08-19,Madrid,London,False
Lufthansa,8:25,14:40,$258,7h 15m,2024-08-19,Madrid,London,False
Air France,6:00,10:30,$357,5h 30m,2024-08-19,Madrid,London,False
"Iberia, British Airways",16:35,22:30,$300,6h 55m,2024-08-19,Madrid,London,False
Lufthansa,8:25,15:40,$231,8h 15m,2024-08-19,Madrid,London,False
"Air Europa, TAP AIR PORTUGAL",15:15,22:55,$174,8h 40m,2024-08-19,Madrid,London,False
"Iberia, British Airways",11:30,16:50,$339,6h 20m,2024-08-19,Madrid,London,False
"Iberia, British Airways",17:10,22:35,$339,6h 25m,2024-08-19,Madrid,London,False
Aer Lingus,8:50,13:55,$357,6h 05m,2024-08-19,Madrid,London,False
Lufthansa,14:55,20:45,$321,6h 50m,2024-08-19,Madrid,London,False
"Air Europa, TAP AIR PORTUGAL",6:30,12:45,$264,7h 15m,2024-08-19,Madrid,London,False
KLM,10:20,17:35,$261,8h 15m,2024-08-19,Madrid,London,False
Lufthansa,13:00,20:40,$241,8h 40m,2024-08-19,Madrid,London,False
Aer Lingus,10:40,18:55,$216,9h 15m,2024-08-19,Madrid,London,False
"Air Europa, SWISS",14:55,21:45,$259,7h 50m,2024-08-19,Madrid,London,False
TAP AIR PORTUGAL,13:35,22:00,$245,9h 25m,2024-08-19,Madrid,London,False
"Air Europa, Vueling",8:00,13:30,$342,6h 30m,2024-08-19,Madrid,London,False
"Iberia, British Airways",8:45,14:05,$379,6h 20m,2024-08-19,Madrid,London,False
Air France,16:40,21:25,$422,5h 45m,2024-08-19,Madrid,London,False
